symbol,strategy,side,qty,entry,exit,entry_px,exit_px,pnl,ccy,hold
BTCUSDT-PERP,EMACrossStop&Reverse-001,SHORT,0.031,2026-06-26 18:08:00,2026-06-26 18:32:00,59539.7,59216.94193548387,8.16477205,USDT,24m 0s
ETHUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1.293,2026-06-26 18:08:03,2026-06-26 18:32:00,1546.97,1536.9597834493427,10.94944939,USDT,23m 56s
BNBUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3.59,2026-06-26 18:26:01,2026-06-26 18:31:59,557.13,556.96,-1.38949155,USDT,5m 58s
ATOMUSDT-PERP,EMACrossStop&Reverse-001,LONG,1250.78,2026-06-26 17:54:04,2026-06-26 18:09:06,1.599,1.596,-5.75046105,USDT,15m 2s
ENAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,25549.0,2026-06-26 16:27:04,2026-06-26 17:30:14,0.07826,0.07801968844181768,4.1433251,USDT,63m 10s
ETHFIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,698.5,2026-06-26 17:08:05,2026-06-26 17:30:03,0.3603,0.35908485325697925,0.5975348,USDT,21m 58s
GRASSUSDT-PERP,EMACrossStop&Reverse-001,SHORT,310.9,2026-06-26 16:29:04,2026-06-26 17:30:03,0.4443,0.4442295593438405,-0.11622193,USDT,60m 59s
VIRTUALUSDT-PERP,EMACrossStop&Reverse-001,SHORT,742.3,2026-06-26 16:29:04,2026-06-26 17:30:03,0.5187,0.5178317930755759,0.2597612,USDT,60m 59s
SPXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,361.0,2026-06-26 17:11:04,2026-06-26 17:30:02,0.3181,0.317278947368421,0.1817141,USDT,18m 57s
HYPEUSDT-PERP,EMACrossStop&Reverse-001,LONG,20.23,2026-06-26 16:53:04,2026-06-26 17:30:01,62.102,61.9886070192783,-3.54911649,USDT,36m 57s
WLFIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,24155.0,2026-06-26 16:29:04,2026-06-26 17:30:00,0.05714,0.05715482094804388,-1.7383957,USDT,60m 56s
DOGEUSDT-PERP,EMACrossStop&Reverse-001,LONG,462.0,2026-06-26 17:07:05,2026-06-26 17:29:59,0.07373,0.07346233766233766,-0.15766143,USDT,22m 54s
NIGHTUSDT-PERP,EMACrossStop&Reverse-001,LONG,9008.0,2026-06-26 16:44:04,2026-06-26 17:29:59,0.0303,0.030144651420959144,-1.67162272,USDT,45m 55s
VVVUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1.21,2026-06-26 16:48:01,2026-06-26 17:29:59,13.529,13.226685950413223,0.3496128,USDT,41m 58s
BUSDT-PERP,EMACrossStop&Reverse-001,LONG,147.0,2026-06-26 17:26:04,2026-06-26 17:29:58,0.2363,0.23844761904761905,0.28080605,USDT,3m 53s
KAIAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,208.0,2026-06-26 17:22:05,2026-06-26 17:29:58,0.03399,0.033969903846153844,-0.00288784,USDT,7m 53s
LABUSDT-PERP,EMACrossStop&Reverse-001,LONG,19.0,2026-06-26 16:28:04,2026-06-26 17:29:58,18.518,18.563,0.5027305,USDT,61m 53s
TIAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,193.0,2026-06-26 16:47:04,2026-06-26 17:29:58,0.3559,0.3543274611398964,0.23496305,USDT,42m 53s
FILUSDT-PERP,EMACrossStop&Reverse-001,SHORT,39.8,2026-06-26 17:15:01,2026-06-26 17:29:57,0.72,0.7170000000000001,0.0908037,USDT,14m 56s
JASMYUSDT-PERP,EMACrossStop&Reverse-001,LONG,27480.0,2026-06-26 16:35:04,2026-06-26 17:29:57,0.004501,0.0045053387190684135,-0.0045191,USDT,54m 52s
JSTUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3021.0,2026-06-26 16:54:04,2026-06-26 17:29:57,0.0827,0.08279102284011917,-0.52495419,USDT,35m 52s
SKYUSDT-PERP,EMACrossStop&Reverse-001,SHORT,132.0,2026-06-26 17:09:00,2026-06-26 17:29:57,0.05071,0.05056,0.01311618,USDT,20m 56s
WLDUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3102.0,2026-06-26 17:22:05,2026-06-26 17:29:57,0.4639,0.4631,1.043823,USDT,7m 52s
ASTERUSDT-PERP,EMACrossStop&Reverse-001,LONG,810.0,2026-06-26 16:30:05,2026-06-26 17:29:56,0.6186,0.6175328395061728,-1.3650338,USDT,59m 51s
AVAXUSDT-PERP,EMACrossStop&Reverse-001,LONG,6.0,2026-06-26 16:32:02,2026-06-26 17:29:56,6.153,6.134999999999999,-0.144864,USDT,57m 54s
CCUSDT-PERP,EMACrossStop&Reverse-001,SHORT,122.0,2026-06-26 17:21:08,2026-06-26 17:29:56,0.14865,0.14844,0.00749751,USDT,8m 48s
CHZUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1443.0,2026-06-26 17:16:04,2026-06-26 17:29:56,0.01769,0.01768,-0.01108946,USDT,13m 51s
DEXEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,5.45,2026-06-26 16:29:04,2026-06-26 17:29:56,22.98,23.084972477064216,-0.69762705,USDT,60m 52s
POLUSDT-PERP,EMACrossStop&Reverse-001,SHORT,93.0,2026-06-26 17:16:05,2026-06-26 17:29:56,0.07187,0.07182,-0.00203159,USDT,13m 51s
QNTUSDT-PERP,EMACrossStop&Reverse-001,SHORT,0.6,2026-06-26 17:25:05,2026-06-26 17:29:56,64.07,64.22,-0.128487,USDT,4m 51s
SOLUSDT-PERP,EMACrossStop&Reverse-001,LONG,0.32,2026-06-26 17:07:05,2026-06-26 17:29:56,68.68,68.56875,-0.0575598,USDT,22m 51s
UBUSDT-PERP,EMACrossStop&Reverse-001,LONG,2488.0,2026-06-26 16:47:04,2026-06-26 17:29:56,0.07735,0.07715924437299035,-0.66680951,USDT,42m 51s
XRPUSDT-PERP,EMACrossStop&Reverse-001,LONG,62.5,2026-06-26 16:27:04,2026-06-26 17:29:56,1.027,1.0242472,-0.23615148,USDT,62m 52s
MORPHOUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3.1,2026-06-26 17:24:04,2026-06-26 17:25:06,1.661,1.663,-0.0113522,USDT,1m 1s
COMPUSDT-PERP,EMACrossStop&Reverse-001,LONG,2.654,2026-06-26 16:30:05,2026-06-26 17:24:05,15.06,15.083428786737,0.02217967,USDT,53m 59s
XMRUSDT-PERP,EMACrossStop&Reverse-001,LONG,0.017,2026-06-26 17:05:04,2026-06-26 17:23:05,308.99,309.48,0.003073,USDT,18m 0s
BSVUSDT-PERP,EMACrossStop&Reverse-001,LONG,3.8,2026-06-26 17:05:04,2026-06-26 17:21:08,10.79,10.77078947368421,-0.1139655,USDT,16m 3s
MONUSDT-PERP,EMACrossStop&Reverse-001,LONG,44.0,2026-06-26 17:20:05,2026-06-26 17:21:08,0.01872,0.01868,-0.0025828,USDT,1m 3s
IOTAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3450.9,2026-06-26 17:16:04,2026-06-26 17:20:05,0.03737,0.03741,-0.26706515,USDT,4m 1s
1000LUNCUSDT-PERP,EMACrossStop&Reverse-001,LONG,1335.0,2026-06-26 16:49:05,2026-06-26 17:19:05,0.06354,0.06375786516853932,0.20587867,USDT,29m 59s
LINKUSDT-PERP,EMACrossStop&Reverse-001,LONG,3.36,2026-06-26 17:06:04,2026-06-26 17:15:04,7.16,7.15,-0.0576408,USDT,9m 0s
1000SHIBUSDT-PERP,EMACrossStop&Reverse-001,LONG,480885.0,2026-06-26 17:06:04,2026-06-26 17:15:01,0.00416,0.004156,-3.92305983,USDT,8m 56s
CAKEUSDT-PERP,EMACrossStop&Reverse-001,LONG,4.0,2026-06-26 17:06:04,2026-06-26 17:14:05,1.3307,1.3282,-0.0153178,USDT,8m 0s
KITEUSDT-PERP,EMACrossStop&Reverse-001,LONG,2.0,2026-06-26 17:06:04,2026-06-26 17:10:04,0.14403,0.14386,-0.00062789,USDT,4m 0s
STXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,34.0,2026-06-26 16:44:04,2026-06-26 17:07:05,0.1648,0.1644,0.0080036,USDT,23m 0s
BCHUSDT-PERP,EMACrossStop&Reverse-001,SHORT,0.181,2026-06-26 16:47:04,2026-06-26 17:06:04,193.71,193.62,-0.01876336,USDT,18m 59s
1000FLOKIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,238.0,2026-06-26 16:46:05,2026-06-26 17:05:04,0.02183,0.02183,-0.00519554,USDT,18m 59s
1000PEPEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,2753.0,2026-06-26 16:29:04,2026-06-26 17:05:04,0.0023259,0.0023283082092262985,-0.01303632,USDT,36m 0s
BEATUSDT-PERP,EMACrossStop&Reverse-001,SHORT,52.0,2026-06-26 16:47:04,2026-06-26 17:05:04,2.446,2.434,0.49712,USDT,17m 59s
ONDOUSDT-PERP,EMACrossStop&Reverse-001,SHORT,22.7,2026-06-26 16:29:04,2026-06-26 17:04:04,0.3073,0.30808281938325993,-0.0247546,USDT,34m 59s
STRKUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1556.8,2026-06-26 16:39:04,2026-06-26 17:04:04,0.02891,0.02891,-0.04500708,USDT,24m 59s
VETUSDT-PERP,EMACrossStop&Reverse-001,SHORT,28.0,2026-06-26 16:40:06,2026-06-26 17:04:04,0.004456,0.004456,-0.00012476,USDT,23m 58s
INJUSDT-PERP,EMACrossStop&Reverse-001,LONG,3.2,2026-06-26 16:50:04,2026-06-26 16:51:04,4.536,4.52,-0.0656896,USDT,1m 0s
AAVEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,0.2,2026-06-26 16:46:04,2026-06-26 16:49:05,84.65,85.04,-0.094969,USDT,3m 0s
AXSUSDT-PERP,EMACrossStop&Reverse-001,LONG,2008.0,2026-06-26 16:33:04,2026-06-26 16:48:04,0.996,0.995,-4.006964,USDT,15m 0s
ADAUSDT-PERP,EMACrossStop&Reverse-001,LONG,26.0,2026-06-26 16:31:05,2026-06-26 16:46:05,0.1437,0.1438,-0.0011375,USDT,15m 0s
DOTUSDT-PERP,EMACrossStop&Reverse-001,LONG,9.2,2026-06-26 16:34:05,2026-06-26 16:46:05,0.833,0.829,-0.0444452,USDT,12m 0s
ENSUSDT-PERP,EMACrossStop&Reverse-001,LONG,1.6,2026-06-26 16:33:04,2026-06-26 16:46:05,4.042,4.041,-0.0080664,USDT,13m 0s
PENGUUSDT-PERP,EMACrossStop&Reverse-001,LONG,1211.0,2026-06-26 16:32:02,2026-06-26 16:46:05,0.005869,0.005862,-0.01558012,USDT,14m 2s
TAOUSDT-PERP,EMACrossStop&Reverse-001,LONG,0.005,2026-06-26 16:30:05,2026-06-26 16:46:05,209.63,209.55,-0.00144795,USDT,16m 0s
XTZUSDT-PERP,EMACrossStop&Reverse-001,LONG,317.5,2026-06-26 16:34:05,2026-06-26 16:46:05,0.2118,0.2111,-0.28938537,USDT,12m 0s
NEARUSDT-PERP,EMACrossStop&Reverse-001,SHORT,11.0,2026-06-26 16:29:04,2026-06-26 16:45:04,1.795,1.7999999999999998,-0.0747725,USDT,16m 0s
CFXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,264.0,2026-06-26 16:41:00,2026-06-26 16:43:04,0.04269,0.04279,-0.03768336,USDT,2m 4s
GWEIUSDT-PERP,EMACrossStop&Reverse-001,LONG,46.0,2026-06-26 16:35:04,2026-06-26 16:43:04,0.1274,0.1271,-0.0196535,USDT,7m 59s
KASUSDT-PERP,EMACrossStop&Reverse-001,LONG,897.0,2026-06-26 16:33:04,2026-06-26 16:41:04,0.02723,0.02721,-0.04235635,USDT,8m 0s
TRXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,21.0,2026-06-26 16:29:04,2026-06-26 16:38:04,0.32191,0.32206,-0.00991169,USDT,9m 0s
XPLUSDT-PERP,EMACrossStop&Reverse-001,SHORT,71.0,2026-06-26 16:28:04,2026-06-26 16:34:05,0.1014,0.10204,-0.05266212,USDT,6m 0s
HBARUSDT-PERP,EMACrossStop&Reverse-001,SHORT,198.0,2026-06-26 16:28:04,2026-06-26 16:33:04,0.07281,0.07285,-0.02234034,USDT,4m 59s
JTOUSDT-PERP,EMACrossStop&Reverse-001,LONG,2.0,2026-06-26 16:32:02,2026-06-26 16:33:04,0.7531,0.7513,-0.0051044,USDT,1m 1s
TRUMPUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3.56,2026-06-26 16:29:04,2026-06-26 16:32:05,1.675,1.68,-0.0237719,USDT,3m 0s
